prompt_id,axis,vbench_index,prompt_class,motion_bucket,subject_count,relation_class,camera_class,complexity_class,seeds,prompt_text
pd001,object_class,0,static_single_or_scene,static_prompt,single_person,none,none,simple,0 1 2,a person
pd002,object_class,1,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a bicycle
pd003,object_class,2,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a car
pd004,object_class,3,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a motorcycle
pd005,object_class,4,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,an airplane
pd006,object_class,5,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a bus
pd007,object_class,6,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a train
pd008,object_class,7,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a truck
pd009,object_class,8,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a boat
pd010,object_class,9,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a traffic light
pd011,object_class,10,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a fire hydrant
pd012,object_class,11,static_single_or_scene,static_prompt,single_subject,none,none,simple,0 1 2,a stop sign
pd013,scene,0,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,alley
pd014,scene,1,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,amusement park
pd015,scene,2,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,aquarium
pd016,scene,3,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,arch
pd017,scene,4,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,art gallery
pd018,scene,5,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,bathroom
pd019,scene,6,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,bakery shop
pd020,scene,7,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,ballroom
pd021,scene,8,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,bar
pd022,scene,9,static_single_or_scene,static_prompt,scene_only,none,none,simple,0 1 2,barn
